Order ID,Amount,Profit,Quantity,Category,Sub-Category,Order Date,CustomerName,State,City
B-25609,485.0,29.0,4.0,Electronics,Electronic Games,2018-09-04,Jitesh,Uttar Pradesh,Lucknow
B-25609,25.0,-5.0,4.0,Clothing,Saree,2018-09-04,Jitesh,Uttar Pradesh,Lucknow
B-25610,737.5,-38.0,4.0,Electronics,Printers,2018-09-04,Yogesh,Bihar,Patna
B-25610,107.0,-54.0,4.0,Clothing,Stole,2018-09-04,Yogesh,Bihar,Patna
B-25610,68.0,-55.0,5.0,Electronics,Accessories,2018-09-04,Yogesh,Bihar,Patna
B-25610,737.5,-80.125,6.0,Electronics,Printers,2018-09-04,Yogesh,Bihar,Patna
B-25610,43.0,0.0,3.0,Clothing,Saree,2018-09-04,Yogesh,Bihar,Patna
B-25610,30.0,-5.0,2.0,Furniture,Furnishings,2018-09-04,Yogesh,Bihar,Patna
B-25611,160.0,-59.0,2.0,Clothing,Saree,2018-11-04,Anita,Kerala ,Thiruvananthapuram
B-25612,259.0,-55.0,2.0,Furniture,Chairs,2018-12-04,Shrichand,Punjab,Chandigarh
B-25613,737.5,0.0,9.0,Clothing,Saree,2018-12-04,Mukesh,Haryana,Chandigarh
B-25614,494.0,54.0,4.0,Furniture,Bookcases,2018-10-05,Vandana,Himachal Pradesh,Simla
B-25614,98.0,-12.0,2.0,Electronics,Electronic Games,2018-10-05,Vandana,Himachal Pradesh,Simla
B-25615,68.0,20.0,5.0,Clothing,Hankerchief,2018-10-05,Bhavna,Sikkim,Gangtok
B-25616,42.0,12.0,5.0,Clothing,Hankerchief,2018-10-05,Kanak,Goa,Goa
B-25616,116.0,-56.0,5.0,Clothing,Stole,2018-10-05,Kanak,Goa,Goa
B-25616,22.0,-2.0,3.0,Clothing,Hankerchief,2018-10-05,Kanak,Goa,Goa
B-25616,14.0,-2.0,3.0,Clothing,Hankerchief,2018-10-05,Kanak,Goa,Goa
B-25617,305.0,-80.125,5.0,Electronics,Electronic Games,2018-10-05,Sagar,Nagaland,Kohima
B-25618,362.0,108.875,1.0,Furniture,Bookcases,2018-10-05,Manju,Andhra Pradesh,Hyderabad
B-25618,12.0,0.0,2.0,Clothing,Hankerchief,2018-10-05,Manju,Andhra Pradesh,Hyderabad
B-25619,353.0,90.0,8.0,Clothing,Saree,2018-10-05,Ramesh,Gujarat,Ahmedabad
B-25620,193.0,46.0,1.0,Electronics,Printers,2018-10-05,Sarita,Maharashtra,Pune
B-25621,233.0,-10.0,5.0,Electronics,Electronic Games,2018-10-05,Deepak,Madhya Pradesh,Bhopal
B-25621,228.0,63.0,3.0,Electronics,Electronic Games,2018-10-05,Deepak,Madhya Pradesh,Bhopal
B-25621,333.0,-15.0,3.0,Electronics,Phones,2018-10-05,Deepak,Madhya Pradesh,Bhopal
B-25622,534.0,0.0,3.0,Clothing,Saree,2018-10-05,Monisha,Rajasthan,Jaipur
B-25623,53.0,1.0,4.0,Clothing,Stole,2018-10-05,Atharv,West Bengal,Kolkata
B-25623,158.0,69.0,3.0,Clothing,Stole,2018-10-05,Atharv,West Bengal,Kolkata
B-25623,149.0,-80.125,4.0,Clothing,Saree,2018-10-05,Atharv,West Bengal,Kolkata
B-25623,105.0,20.0,2.0,Clothing,Stole,2018-10-05,Atharv,West Bengal,Kolkata
B-25624,26.0,12.0,3.0,Clothing,Hankerchief,2018-10-05,Vini,Karnataka,Bangalore
B-25625,97.0,29.0,2.0,Clothing,Hankerchief,2018-10-05,Pinky,Jammu and Kashmir,Kashmir
B-25625,59.0,30.0,3.0,Clothing,Leggings,2018-10-05,Pinky,Jammu and Kashmir,Kashmir
B-25625,635.0,-80.125,5.0,Clothing,Saree,2018-10-05,Pinky,Jammu and Kashmir,Kashmir
B-25626,46.0,-14.0,1.0,Electronics,Phones,2018-10-05,Bhishm,Maharashtra,Mumbai
B-25626,737.5,-80.125,3.0,Furniture,Chairs,2018-10-05,Bhishm,Maharashtra,Mumbai
B-25627,55.0,-39.0,4.0,Clothing,Stole,2018-10-05,Hitika,Madhya Pradesh,Indore
B-25628,45.0,13.0,4.0,Clothing,Skirt,2018-10-05,Pooja,Bihar,Patna
B-25628,24.0,-9.0,4.0,Clothing,Saree,2018-10-05,Pooja,Bihar,Patna
B-25628,35.0,-8.0,2.0,Furniture,Furnishings,2018-10-05,Pooja,Bihar,Patna
B-25629,737.5,108.875,3.0,Clothing,Trousers,2018-10-05,Hemant,Kerala ,Thiruvananthapuram
B-25630,133.0,12.0,5.0,Clothing,Stole,2018-10-05,Sahil,Punjab,Chandigarh
B-25630,114.0,-39.0,5.0,Clothing,Kurti,2018-10-05,Sahil,Punjab,Chandigarh
B-25630,143.0,-80.125,2.0,Electronics,Phones,2018-10-05,Sahil,Punjab,Chandigarh
B-25630,40.0,-7.0,3.0,Clothing,Stole,2018-10-05,Sahil,Punjab,Chandigarh
B-25630,34.0,-22.0,4.0,Clothing,T-shirt,2018-10-05,Sahil,Punjab,Chandigarh
B-25630,42.0,-26.0,2.0,Clothing,Kurti,2018-10-05,Sahil,Punjab,Chandigarh
B-25631,89.0,-80.125,2.0,Furniture,Furnishings,2018-10-05,Ritu,Haryana,Chandigarh
B-25632,19.0,-2.0,2.0,Clothing,Leggings,2018-10-05,Manish,Himachal Pradesh,Simla
B-25633,249.0,-80.125,4.0,Electronics,Phones,2018-10-05,Amit,Sikkim,Gangtok
B-25633,711.0,-8.0,4.0,Clothing,Saree,2018-10-05,Amit,Sikkim,Gangtok
B-25633,496.0,-79.0,2.0,Clothing,Trousers,2018-10-05,Amit,Sikkim,Gangtok
B-25634,389.0,-80.125,3.0,Furniture,Chairs,2018-10-05,Sanjay,Goa,Goa
B-25635,40.0,16.0,3.0,Clothing,Hankerchief,2018-10-05,Nidhi,Nagaland,Kohima
B-25635,23.0,2.0,2.0,Clothing,Skirt,2018-10-05,Nidhi,Nagaland,Kohima
B-25635,382.0,30.0,3.0,Clothing,Saree,2018-10-05,Nidhi,Nagaland,Kohima
B-25636,637.0,108.875,5.0,Clothing,Saree,2018-10-05,Nishi,Maharashtra,Mumbai
B-25637,117.0,14.0,3.0,Clothing,Shirt,2018-10-05,Ashmi,Madhya Pradesh,Indore
B-25638,182.0,-11.0,3.0,Furniture,Bookcases,2018-10-05,Parth,Maharashtra,Pune
B-25638,737.5,97.0,8.0,Furniture,Furnishings,2018-10-05,Parth,Maharashtra,Pune
B-25638,154.0,39.0,3.0,Clothing,Hankerchief,2018-10-05,Parth,Maharashtra,Pune
B-25638,737.5,-80.125,3.0,Electronics,Printers,2018-10-05,Parth,Maharashtra,Pune
B-25639,737.5,-80.125,3.0,Electronics,Phones,2018-10-05,Lisha,Madhya Pradesh,Bhopal
B-25640,68.0,-62.0,2.0,Clothing,Trousers,2018-10-05,Paridhi,Rajasthan,Jaipur
B-25640,314.0,-80.125,9.5,Clothing,Hankerchief,2018-10-05,Paridhi,Rajasthan,Jaipur
B-25640,122.0,-47.0,4.0,Clothing,Saree,2018-10-05,Paridhi,Rajasthan,Jaipur
B-25641,22.0,-6.0,1.0,Furniture,Furnishings,2018-10-05,Parishi,West Bengal,Kolkata
B-25642,434.0,26.0,9.5,Clothing,Shirt,2018-10-05,Ajay,Karnataka,Bangalore
B-25643,737.5,-36.0,8.0,Furniture,Bookcases,2018-10-05,Kirti,Jammu and Kashmir,Kashmir
B-25643,50.0,-44.0,2.0,Clothing,Hankerchief,2018-10-05,Kirti,Jammu and Kashmir,Kashmir
B-25643,37.0,-23.0,4.0,Clothing,Shirt,2018-10-05,Kirti,Jammu and Kashmir,Kashmir
B-25643,263.0,-63.0,2.0,Electronics,Electronic Games,2018-10-05,Kirti,Jammu and Kashmir,Kashmir
B-25643,36.0,-7.0,1.0,Electronics,Electronic Games,2018-10-05,Kirti,Jammu and Kashmir,Kashmir
B-25644,76.0,-80.125,8.0,Furniture,Furnishings,2018-10-05,Mayank,Maharashtra,Mumbai
B-25645,273.0,-80.125,4.0,Electronics,Phones,2018-01-05,Yaanvi,Madhya Pradesh,Indore
B-25645,86.0,0.0,4.0,Clothing,T-shirt,2018-01-05,Yaanvi,Madhya Pradesh,Indore
B-25645,133.0,-42.0,1.0,Electronics,Printers,2018-01-05,Yaanvi,Madhya Pradesh,Indore
B-25645,183.0,-66.0,5.0,Electronics,Phones,2018-01-05,Yaanvi,Madhya Pradesh,Indore
B-25646,20.0,-8.0,2.0,Clothing,Saree,2018-01-05,Sonal,Bihar,Patna
B-25647,42.0,-6.0,4.0,Clothing,Saree,2018-03-05,Sharda,Kerala ,Thiruvananthapuram
B-25648,100.0,-23.0,1.0,Electronics,Phones,2018-04-05,Aditya,Punjab,Chandigarh
B-25648,30.0,13.0,1.0,Clothing,T-shirt,2018-04-05,Aditya,Punjab,Chandigarh
B-25648,55.0,-26.0,4.0,Clothing,Saree,2018-04-05,Aditya,Punjab,Chandigarh
B-25648,130.0,-41.0,4.0,Clothing,Saree,2018-04-05,Aditya,Punjab,Chandigarh
B-25649,27.0,-25.0,2.0,Clothing,Stole,2018-05-05,Rachna,Haryana,Chandigarh
B-25650,245.0,-78.0,2.0,Electronics,Printers,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,211.0,-80.125,2.0,Clothing,Saree,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,31.0,-2.0,2.0,Clothing,Saree,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,28.0,-26.0,2.0,Clothing,Stole,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,512.0,-80.125,5.0,Clothing,Saree,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,737.5,-80.125,5.0,Electronics,Electronic Games,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,238.0,20.0,2.0,Clothing,Saree,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,351.0,-47.0,8.0,Electronics,Phones,2018-06-05,Chirag,Maharashtra,Mumbai
B-25650,269.0,108.875,3.0,Clothing,Trousers,2018-06-05,Chirag,Maharashtra,Mumbai
B-25651,200.0,-60.0,4.0,Furniture,Bookcases,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,44.0,-8.0,3.0,Clothing,Stole,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,7.0,0.0,1.0,Clothing,Leggings,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,11.0,-4.0,2.0,Clothing,Skirt,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,16.0,-10.0,2.0,Clothing,T-shirt,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,172.0,-80.125,3.0,Furniture,Chairs,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,49.0,3.0,1.0,Clothing,Shirt,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,737.5,-18.0,7.0,Furniture,Chairs,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,23.0,4.0,1.0,Clothing,Saree,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25651,457.0,-41.0,4.0,Clothing,Saree,2018-07-05,Anurag,Madhya Pradesh,Indore
B-25652,24.0,-21.0,7.0,Clothing,Skirt,2018-08-05,Tushina,Goa,Goa
B-25652,25.0,-2.0,5.0,Clothing,Hankerchief,2018-08-05,Tushina,Goa,Goa
B-25652,174.0,-70.0,3.0,Electronics,Accessories,2018-08-05,Tushina,Goa,Goa
B-25652,206.0,-80.125,3.0,Clothing,Saree,2018-08-05,Tushina,Goa,Goa
B-25652,21.0,-13.0,3.0,Clothing,Leggings,2018-08-05,Tushina,Goa,Goa
B-25652,34.0,-6.0,4.0,Clothing,Leggings,2018-08-05,Tushina,Goa,Goa
B-25652,9.0,-6.0,2.0,Clothing,Hankerchief,2018-08-05,Tushina,Goa,Goa
B-25653,737.5,-80.125,8.0,Electronics,Printers,2018-08-05,Farah,Nagaland,Kohima
B-25653,28.0,-3.0,2.0,Clothing,Saree,2018-08-05,Farah,Nagaland,Kohima
B-25653,427.0,-50.0,7.0,Electronics,Phones,2018-08-05,Farah,Nagaland,Kohima
B-25653,168.0,-10.0,3.0,Electronics,Accessories,2018-08-05,Farah,Nagaland,Kohima
B-25653,737.5,108.875,8.0,Furniture,Chairs,2018-08-05,Farah,Nagaland,Kohima
B-25653,195.0,-80.125,5.0,Electronics,Phones,2018-08-05,Farah,Nagaland,Kohima
B-25653,115.0,25.0,1.0,Electronics,Accessories,2018-08-05,Farah,Nagaland,Kohima
B-25653,668.0,-31.0,3.0,Electronics,Printers,2018-08-05,Farah,Nagaland,Kohima
B-25653,227.0,102.0,8.0,Electronics,Accessories,2018-08-05,Farah,Nagaland,Kohima
B-25654,34.0,12.0,3.0,Clothing,Hankerchief,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,229.0,-23.0,2.0,Clothing,Saree,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,54.0,-3.0,3.0,Clothing,Saree,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,269.0,-80.125,2.0,Electronics,Electronic Games,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,122.0,-21.0,3.0,Furniture,Furnishings,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,105.0,46.0,2.0,Clothing,Stole,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,450.0,-80.125,3.0,Electronics,Printers,2018-10-05,Sabah,Maharashtra,Mumbai
B-25654,121.0,-17.0,3.0,Furniture,Furnishings,2018-10-05,Sabah,Maharashtra,Mumbai
B-25655,44.0,-26.0,3.0,Clothing,Hankerchief,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,7.0,-4.0,3.0,Clothing,Hankerchief,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,396.0,-31.0,9.0,Clothing,Saree,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,97.0,-62.0,2.0,Clothing,Trousers,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,110.0,-68.0,4.0,Clothing,Saree,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,312.0,-80.125,7.0,Furniture,Chairs,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,9.0,-6.0,2.0,Clothing,Skirt,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,6.0,-3.0,1.0,Clothing,Hankerchief,2018-11-05,Nida,Madhya Pradesh,Indore
B-25655,74.0,23.0,8.0,Clothing,Skirt,2018-11-05,Nida,Madhya Pradesh,Indore
B-25656,534.0,0.0,3.0,Clothing,Saree,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,30.0,-5.0,5.0,Clothing,Stole,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,61.0,-23.0,2.0,Clothing,Saree,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,6.0,3.0,1.0,Clothing,Hankerchief,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,24.0,-1.0,2.0,Clothing,Hankerchief,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,56.0,18.0,2.0,Clothing,Hankerchief,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,406.0,108.875,2.0,Clothing,Saree,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,624.0,37.0,2.0,Electronics,Electronic Games,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,101.0,18.0,9.0,Clothing,Skirt,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,737.5,108.875,7.0,Clothing,Saree,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,651.0,108.875,5.0,Electronics,Printers,2018-11-05,Priyanka,Maharashtra,Pune
B-25656,13.0,-1.0,3.0,Clothing,Hankerchief,2018-11-05,Priyanka,Maharashtra,Pune
B-25657,737.5,-48.0,4.0,Electronics,Electronic Games,2018-10-05,Tulika,Madhya Pradesh,Bhopal
B-25657,32.0,-22.0,5.0,Clothing,Saree,2018-10-05,Tulika,Madhya Pradesh,Bhopal
B-25657,332.0,-43.0,6.0,Electronics,Phones,2018-10-05,Tulika,Madhya Pradesh,Bhopal
B-25657,288.0,-80.125,4.0,Furniture,Chairs,2018-10-05,Tulika,Madhya Pradesh,Bhopal
B-25658,27.0,9.0,2.0,Clothing,T-shirt,2018-10-05,Shefali,Rajasthan,Jaipur
B-25659,148.0,72.0,7.0,Clothing,T-shirt,2018-10-05,Sanskriti,West Bengal,Kolkata
B-25660,245.0,-78.0,3.0,Clothing,Saree,2018-10-05,Shruti,Karnataka,Bangalore
B-25661,19.0,-15.0,3.0,Clothing,Hankerchief,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25661,224.0,-80.125,3.0,Furniture,Chairs,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25661,58.0,-42.0,2.0,Furniture,Chairs,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25661,145.0,-80.125,5.0,Furniture,Chairs,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25661,55.0,-33.0,2.0,Furniture,Chairs,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25661,7.0,-1.0,2.0,Clothing,Hankerchief,2018-10-05,Subhashree,Jammu and Kashmir,Kashmir
B-25662,24.0,-2.0,2.0,Clothing,T-shirt,2018-10-05,Sweta,Maharashtra,Mumbai
B-25662,86.0,-21.0,1.0,Electronics,Electronic Games,2018-10-05,Sweta,Maharashtra,Mumbai
B-25662,385.0,-77.0,9.5,Furniture,Furnishings,2018-10-05,Sweta,Maharashtra,Mumbai
B-25663,294.0,108.875,2.0,Electronics,Printers,2018-10-05,Pournamasi,Madhya Pradesh,Indore
B-25664,444.0,-80.125,4.0,Electronics,Phones,2018-10-05,Pratyusmita,Bihar,Patna
B-25664,737.5,52.0,2.0,Electronics,Phones,2018-10-05,Pratyusmita,Bihar,Patna
B-25664,258.0,-27.0,2.0,Electronics,Phones,2018-10-05,Pratyusmita,Bihar,Patna
B-25664,83.0,-48.0,1.0,Furniture,Bookcases,2018-10-05,Pratyusmita,Bihar,Patna
B-25665,166.0,-80.125,4.0,Electronics,Accessories,2018-10-05,Chayanika,Kerala ,Thiruvananthapuram
B-25666,737.5,-80.125,7.0,Electronics,Electronic Games,2018-10-05,Tanvi,Punjab,Chandigarh
B-25667,11.0,-2.0,4.0,Clothing,Hankerchief,2018-10-05,Anjali,Haryana,Chandigarh
B-25667,41.0,6.0,5.0,Clothing,Skirt,2018-10-05,Anjali,Haryana,Chandigarh
B-25667,344.0,-34.0,3.0,Clothing,Saree,2018-10-05,Anjali,Haryana,Chandigarh
B-25667,737.5,108.875,8.0,Electronics,Printers,2018-10-05,Anjali,Haryana,Chandigarh
B-25667,516.0,69.0,4.0,Furniture,Bookcases,2018-10-05,Anjali,Haryana,Chandigarh
B-25668,123.0,17.0,3.0,Furniture,Furnishings,2018-10-05,Rhea,Himachal Pradesh,Simla
B-25669,610.0,-66.0,2.0,Furniture,Tables,2018-10-05,Piyali,Sikkim,Gangtok
B-25670,74.0,29.0,3.0,Clothing,Stole,2018-10-05,Charika,Goa,Goa
B-25670,24.0,1.0,2.0,Clothing,Hankerchief,2018-10-05,Charika,Goa,Goa
B-25670,14.0,2.0,1.0,Clothing,Hankerchief,2018-10-05,Charika,Goa,Goa
B-25670,656.0,-36.0,2.0,Furniture,Bookcases,2018-10-05,Charika,Goa,Goa
B-25671,737.5,0.0,3.0,Clothing,Trousers,2018-10-05,Mitali,Nagaland,Kohima
B-25672,27.0,-15.0,1.0,Clothing,Stole,2018-10-05,Akanksha,Andhra Pradesh,Hyderabad
B-25673,143.0,-80.125,5.0,Clothing,Saree,2018-10-05,Arsheen,Gujarat,Ahmedabad
B-25673,44.0,-17.0,5.0,Clothing,Saree,2018-10-05,Arsheen,Gujarat,Ahmedabad
B-25673,45.0,-2.0,4.0,Clothing,Shirt,2018-10-05,Arsheen,Gujarat,Ahmedabad
B-25673,16.0,-1.0,1.0,Clothing,Saree,2018-10-05,Arsheen,Gujarat,Ahmedabad
B-25673,37.0,-5.0,3.0,Clothing,T-shirt,2018-10-05,Arsheen,Gujarat,Ahmedabad
B-25674,17.0,-12.0,5.0,Clothing,Skirt,2018-10-05,Mahima,Maharashtra,Pune
B-25675,737.5,-80.125,9.0,Clothing,Saree,2018-10-05,Shreya,Madhya Pradesh,Bhopal
B-25676,342.0,-80.125,4.0,Electronics,Electronic Games,2018-01-06,Chandni,Rajasthan,Jaipur
B-25676,737.5,-56.0,5.0,Clothing,Trousers,2018-01-06,Chandni,Rajasthan,Jaipur
B-25676,674.0,-80.125,2.0,Furniture,Tables,2018-01-06,Chandni,Rajasthan,Jaipur
B-25676,32.0,6.0,3.0,Clothing,Shirt,2018-01-06,Chandni,Rajasthan,Jaipur
B-25676,79.0,36.0,4.0,Clothing,Shirt,2018-01-06,Chandni,Rajasthan,Jaipur
B-25677,20.0,-2.0,1.0,Electronics,Accessories,2018-02-06,Ekta,West Bengal,Kolkata
B-25678,64.0,-7.0,3.0,Clothing,Saree,2018-03-06,Bathina,Karnataka,Bangalore
B-25678,7.0,-3.0,2.0,Clothing,Skirt,2018-03-06,Bathina,Karnataka,Bangalore
B-25678,327.0,-39.0,1.0,Electronics,Phones,2018-03-06,Bathina,Karnataka,Bangalore
B-25678,27.0,-25.0,2.0,Clothing,Shirt,2018-03-06,Bathina,Karnataka,Bangalore
B-25679,76.0,-50.0,1.0,Clothing,Saree,2018-04-06,Avni,Maharashtra,Mumbai
B-25680,73.0,-25.0,3.0,Clothing,Saree,2018-04-06,Aayushi,Madhya Pradesh,Indore
B-25681,68.0,-27.0,3.0,Electronics,Accessories,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25681,523.0,108.875,7.0,Clothing,Trousers,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25681,44.0,-3.0,1.0,Clothing,Saree,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25681,243.0,-14.0,2.0,Furniture,Chairs,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25681,737.5,-77.0,3.0,Electronics,Phones,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25681,737.5,-80.125,7.0,Electronics,Electronic Games,2018-04-06,Bhawna,Madhya Pradesh,Indore
B-25682,545.0,-73.0,9.5,Electronics,Phones,2018-07-06,Krutika,Bihar,Patna
B-25683,433.0,26.0,3.0,Electronics,Printers,2018-08-06,Shreya,Kerala ,Thiruvananthapuram
B-25683,245.0,-3.0,4.0,Electronics,Phones,2018-08-06,Shreya,Kerala ,Thiruvananthapuram
B-25683,155.0,56.0,3.0,Furniture,Furnishings,2018-08-06,Shreya,Kerala ,Thiruvananthapuram
B-25683,148.0,52.0,5.0,Clothing,Stole,2018-08-06,Shreya,Kerala ,Thiruvananthapuram
B-25683,86.0,-55.0,6.0,Clothing,Saree,2018-08-06,Shreya,Kerala ,Thiruvananthapuram
B-25684,134.0,42.0,2.0,Furniture,Chairs,2018-09-06,Samiksha,Maharashtra,Mumbai
B-25685,51.0,7.0,2.0,Furniture,Furnishings,2018-10-06,Sheetal,Madhya Pradesh,Indore
B-25685,529.0,108.875,3.0,Electronics,Phones,2018-10-06,Sheetal,Madhya Pradesh,Indore
B-25685,264.0,-30.0,3.0,Furniture,Furnishings,2018-10-06,Sheetal,Madhya Pradesh,Indore
B-25685,45.0,-2.0,4.0,Clothing,Shirt,2018-10-06,Sheetal,Madhya Pradesh,Indore
B-25686,381.0,-13.0,2.0,Clothing,Saree,2018-11-06,Pooja,Himachal Pradesh,Simla
B-25686,332.0,-80.125,3.0,Electronics,Printers,2018-11-06,Pooja,Himachal Pradesh,Simla
B-25686,737.5,-56.0,6.0,Furniture,Tables,2018-11-06,Pooja,Himachal Pradesh,Simla
B-25687,17.0,6.0,1.0,Clothing,Stole,2018-11-06,Sanjna,Maharashtra,Mumbai
B-25687,357.0,108.875,2.0,Clothing,Saree,2018-11-06,Sanjna,Maharashtra,Mumbai
B-25687,51.0,21.0,3.0,Clothing,T-shirt,2018-11-06,Sanjna,Maharashtra,Mumbai
B-25687,387.0,-80.125,5.0,Clothing,Saree,2018-11-06,Sanjna,Maharashtra,Mumbai
B-25687,14.0,-1.0,4.0,Clothing,Kurti,2018-11-06,Sanjna,Maharashtra,Mumbai
B-25688,352.0,-80.125,5.0,Clothing,Saree,2018-11-06,Swetha,Madhya Pradesh,Indore
B-25689,469.0,-80.125,3.0,Electronics,Electronic Games,2018-10-05,Bhaggyasree,Maharashtra,Mumbai
B-25689,97.0,17.0,2.0,Clothing,Stole,2018-10-05,Bhaggyasree,Maharashtra,Mumbai
B-25689,149.0,36.0,3.0,Clothing,Stole,2018-10-05,Bhaggyasree,Maharashtra,Mumbai
B-25690,31.0,10.0,3.0,Clothing,Skirt,2018-10-05,Gunjan,Madhya Pradesh,Indore
B-25691,714.0,56.0,4.0,Clothing,Saree,2018-10-05,Akancha,Maharashtra,Mumbai
B-25691,75.0,-25.0,3.0,Clothing,Stole,2018-10-05,Akancha,Maharashtra,Mumbai
